 
 ********** RST CALC OUTPUT FOR DATA FILE - MICROSTN.DAT *********
 
 THERE ARE  8  POPULATIONS AND  24  LOCI, NMAX= 20 
 
 LOCUS VARIANCES IN EACH POPULATION:
 
    POP       LOCUS          VARIANCE     MEAN ALELLE  SAMPLE SIZE
 
 POS x GAL    4_103          -0.387   80      40.000   0.003   0.007  0.25641
 POS x GAL    4_104          -0.562   80      40.000   0.000   0.000  0.96892
 POS x GAL    4_264           0.525   80      40.000   0.042   0.074  0.35897
 POS x GAL    4_235          -0.547   78      38.974   0.000   0.002  0.05405
 POS x GAL    4_181          -0.602   78      38.974   0.019   0.677  0.02727
 POS x GAL    4_227           0.544   78      38.974   0.007   0.219  0.02987
 POS x GAL    6_86            0.036   78      38.974   0.044   0.279  0.13721
 POS x GAL    6_166           0.010   78      38.974   1.016   0.398  0.71847
 POS x GAL    6_138           0.201   78      38.974   0.428   0.267  0.61524
 POS x GAL    6_296           0.068   78      38.974   0.179   1.128  0.13728
 POS x GAL    6_157          -0.271   80      40.000   0.638   0.551  0.53684
 
                 RHO (AVERGING VAR  COMP)=  0.37898
                 RHO (AVERGING OVER LOCI)=  0.30524
       ----------------------------<>-----------------------------
 
 POS x BIN    1_317          -0.241   80      40.000   0.023   0.279  0.07542
 POS x BIN    1_64           -0.435   80      40.000   0.054   0.086  0.38444
 POS x BIN    1_316           0.336   80      40.000   0.062   0.239  0.20481
 POS x BIN    1_58            0.235   80      40.000   0.140   0.608  0.18687
 POS x BIN    1_295           0.603   78      38.974   0.135   0.313  0.30180
 POS x BIN    3_60           -0.551   80      40.000   0.004   0.153  0.02564
 POS x BIN    3_117          -0.498   80      40.000   0.000   0.001  0.02564
 POS x BIN    3_149           0.394   80      40.000   0.307   0.419  0.42299
 POS x BIN    3_221           0.124   80      40.000   0.005   0.064  0.07692
 POS x BIN    3_269           0.356   80      40.000   0.209   0.558  0.27239
 POS x BIN    3_265           0.246   80      40.000   0.483   0.189  0.71934
 POS x BIN    4_149           0.063   80      40.000   0.396   0.107  0.78695
 POS x BIN    4_315           0.356   80      40.000   0.205   0.150  0.57823
 POS x BIN    4_103          -0.418   80      40.000   0.000   0.002  0.02564
 POS x BIN    4_104          -0.456   80      40.000   0.017   0.206  0.07692
 POS x BIN    4_264           0.240   80      40.000   0.032   0.250  0.11226
 POS x BIN    4_235          -0.327   80      40.000   0.099   0.276  0.26332
 POS x BIN    4_181          -0.197   80      40.000   0.147   0.083  0.63892
 POS x BIN    4_227           0.539   80      40.000   0.005   0.226  0.02087
 POS x BIN    6_86            0.107   80      40.000   0.014   0.026  0.35116
 POS x BIN    6_166          -0.073   80      40.000   1.211   0.383  0.75997
 POS x BIN    6_138           0.594   80      40.000  -0.030   1.499 -0.02045
 POS x BIN    6_296          -0.175   80      40.000  -0.009   0.773 -0.01173
 POS x BIN    6_157          -0.354   80      40.000   0.462   0.534  0.46376
 
                 RHO (AVERGING VAR  COMP)=  0.34846
                 RHO (AVERGING OVER LOCI)=  0.28092
       ----------------------------<>-----------------------------
 
 POS x LVA    1_317          -0.108   80      40.000   0.105   1.000  0.09493
 POS x LVA    1_64           -0.466   80      40.000   0.077   0.066  0.53846
 POS x LVA    1_316           0.204   80      40.000   0.004   0.067  0.05436
 POS x LVA    1_58            0.507   80      40.000  -0.013   0.533 -0.02551
 POS x LVA    1_295           0.669   80      40.000   0.074   0.079  0.48517
 POS x LVA    3_60           -0.565   80      40.000   0.005   0.009  0.33333
 POS x LVA    3_117          -0.498   80      40.000   0.000   0.001  0.02564
 POS x LVA    3_149           0.264   80      40.000   0.137   0.323  0.29756
 POS x LVA    3_221           0.241   80      40.000   0.006   0.028  0.17949
 POS x LVA    3_269           0.482   80      40.000   0.083   0.123  0.40385
 POS x LVA    3_265           0.323   80      40.000   0.341   0.250  0.57690
 POS x LVA    4_149          -0.495   80      40.000   0.015   0.396  0.03654
 POS x LVA    4_315           0.720   80      40.000  -0.001   0.186 -0.00706
 POS x LVA    4_103          -0.452   80      40.000   0.001   0.006  0.17949
 POS x LVA    4_104          -0.562   80      40.000   0.000   0.000  0.96892
 POS x LVA    4_264           0.309   80      40.000   0.007   0.107  0.05938
 POS x LVA    4_235          -0.493   80      40.000   0.007   0.038  0.15751
 POS x LVA    4_181          -0.112   80      40.000   0.236   0.778  0.23298
 POS x LVA    4_227           0.667   80      40.000   0.079   0.021  0.78786
 POS x LVA    6_86            0.250   80      40.000   0.006   0.011  0.36993
 POS x LVA    6_166           0.421   80      40.000   0.153   0.468  0.24648
 POS x LVA    6_138           0.097   80      40.000   0.608   0.527  0.53599
 POS x LVA    6_296          -0.195   80      40.000  -0.006   0.462 -0.01347
 POS x LVA    6_157          -0.305   80      40.000   0.571   0.190  0.75051
 
                 RHO (AVERGING VAR  COMP)=  0.30571
                 RHO (AVERGING OVER LOCI)=  0.30289
       ----------------------------<>-----------------------------
 
 POS x SPT    1_317          -0.291   80      40.000   0.002   0.346  0.00496
 POS x SPT    1_64            0.474   80      40.000   1.081   0.714  0.60222
 POS x SPT    1_316          -0.211   80      40.000   0.237   1.034  0.18633
 POS x SPT    1_58           -0.682   80      40.000   2.845   0.365  0.88628
 POS x SPT    1_295           0.112   80      40.000   1.121   0.425  0.72514
 POS x SPT    3_60            0.194   80      40.000   1.294   0.402  0.76299
 POS x SPT    3_117           0.422   80      40.000   1.706   0.443  0.79366
 POS x SPT    3_149          -0.541   80      40.000   0.571   0.171  0.76931
 POS x SPT    3_221          -0.758   80      40.000   1.722   1.822  0.48585
 POS x SPT    3_269          -0.341   80      40.000   2.116   0.459  0.82171
 POS x SPT    3_265           0.868   80      40.000   0.014   0.767  0.01781
 POS x SPT    4_149          -0.406   80      40.000  -0.014   0.596 -0.02389
 POS x SPT    4_315          -0.340   80      40.000   2.062   0.578  0.78094
 POS x SPT    4_103           0.708   80      40.000   2.546   0.695  0.78567
 POS x SPT    4_104           0.408   80      40.000   1.868   0.468  0.79951
 POS x SPT    4_264          -0.048   80      40.000   0.354   0.364  0.49270
 POS x SPT    4_235           0.189   80      40.000   1.099   0.563  0.66125
 POS x SPT    4_181          -0.131   80      40.000   0.211   0.732  0.22350
 POS x SPT    4_227          -0.263   80      40.000   1.060   0.253  0.80734
 POS x SPT    6_86            0.421   80      40.000   0.086   0.734  0.10479
 POS x SPT    6_166           0.279   80      40.000   0.353   0.576  0.38041
 POS x SPT    6_138           0.437   80      40.000   0.078   0.663  0.10566
 POS x SPT    6_296           0.137   80      40.000   0.281   0.570  0.32984
 POS x SPT    6_157          -0.802   80      40.000  -0.011   0.577 -0.02002
 
                 RHO (AVERGING VAR  COMP)=  0.61302
                 RHO (AVERGING OVER LOCI)=  0.47850
       ----------------------------<>-----------------------------
 
 POS x PAV    1_317          -0.130   80      40.000   0.104   0.158  0.39787
 POS x PAV    1_64            0.207   80      40.000   0.442   0.351  0.55699
 POS x PAV    1_316           0.073   80      40.000   0.003   0.394  0.00645
 POS x PAV    1_58            0.409   80      40.000   0.013   0.370  0.03286
 POS x PAV    1_295           0.056   80      40.000   1.303   0.189  0.87325
 POS x PAV    3_60           -0.168   80      40.000   0.387   0.378  0.50613
 POS x PAV    3_117          -0.299   80      40.000   0.078   0.275  0.21999
 POS x PAV    3_149          -0.472   80      40.000   0.430   0.290  0.59669
 POS x PAV    3_221           0.266   80      40.000   0.007   0.279  0.02409
 POS x PAV    3_269           0.283   80      40.000   0.328   0.173  0.65422
 POS x PAV    3_265          -0.089   80      40.000   1.334   1.558  0.46120
 POS x PAV    4_149          -0.378   80      40.000  -0.024   0.947 -0.02557
 POS x PAV    4_315           0.348   80      40.000   0.214   0.218  0.49520
 POS x PAV    4_103           0.111   80      40.000   0.559   0.610  0.47803
 POS x PAV    4_104           0.082   80      40.000   0.813   0.572  0.58710
 POS x PAV    4_264          -0.442   80      40.000   1.305   1.471  0.47020
 POS x PAV    4_235           0.129   80      40.000   0.908   1.298  0.41156
 POS x PAV    4_181          -0.043   80      40.000   0.348   0.651  0.34845
 POS x PAV    4_227          -0.256   80      40.000   1.042   0.093  0.91769
 POS x PAV    6_86            0.351   80      40.000   0.046   0.173  0.20911
 POS x PAV    6_166           0.236   80      40.000   0.427   0.722  0.37193
 POS x PAV    6_138           0.045   80      40.000   0.737   0.282  0.72321
 POS x PAV    6_296          -0.267   80      40.000  -0.008   0.340 -0.02317
 POS x PAV    6_157          -0.487   80      40.000   0.226   0.992  0.18582
 
                 RHO (AVERGING VAR  COMP)=  0.46296
                 RHO (AVERGING OVER LOCI)=  0.39497
       ----------------------------<>-----------------------------
 
 SON x CRE    1_317           0.297   80      40.000  -0.022   1.964 -0.01134
 SON x CRE    1_64            0.063   80      40.000   0.570   1.120  0.33743
 SON x CRE    1_316          -0.242   80      40.000   0.341   1.563  0.17914
 SON x CRE    1_58            0.078   80      40.000   0.062   0.438  0.12440
 SON x CRE    1_295          -0.396   76      37.895   1.685   0.763  0.68822
 SON x CRE    3_60            0.476   80      40.000   0.890   1.245  0.41680
 SON x CRE    3_117           0.404   80      40.000   1.522   0.899  0.62873
 SON x CRE    3_149           0.033   80      40.000   0.397   1.033  0.27776
 SON x CRE    3_221           0.285   80      40.000   0.070   0.127  0.35485
 SON x CRE    3_269          -0.103   80      40.000   0.863   0.634  0.57652
 SON x CRE    3_265          -0.253   80      40.000   0.006   0.122  0.04598
 SON x CRE    4_149           0.230   80      40.000   0.060   0.832  0.06708
 SON x CRE    4_315          -0.250   80      40.000   0.965   0.593  0.61938
 SON x CRE    4_103          -0.411   80      40.000   0.004   0.281  0.01390
 SON x CRE    4_104          -0.033   80      40.000   0.503   0.783  0.39096
 SON x CRE    4_264           0.171   80      40.000   0.295   0.367  0.44568
 SON x CRE    4_235          -0.078   80      40.000   0.062   0.653  0.08652
 SON x CRE    4_181           0.130   80      40.000  -0.012   0.729 -0.01734
 SON x CRE    4_227          -0.298   76      37.895   0.643   0.983  0.39549
 SON x CRE    6_86           -0.779   80      40.000   1.565   1.003  0.60950
 SON x CRE    6_166           0.544   80      40.000   0.011   0.575  0.01919
 SON x CRE    6_138          -0.059   80      40.000   0.155   0.276  0.35938
 SON x CRE    6_296          -0.059   80      40.000   0.411   1.079  0.27591
 SON x CRE    6_157           0.536   80      40.000   0.177   0.382  0.31630
 
                 RHO (AVERGING VAR  COMP)=  0.37829
                 RHO (AVERGING OVER LOCI)=  0.30002
       ----------------------------<>-----------------------------
 
 SON x GAL    1_317           0.139   78      38.974   0.145   0.556  0.20639
 SON x GAL    1_64            0.063   78      38.974   0.602   1.114  0.35078
